,C061129A1-SR-C1,C060112A1-SR-C1,C060202A4-SR-C1,C061128A3-SR-C1,C060116A4-SR-C1,C060116A1-SR-C1,C061128A1-SR-C1,C061128A4-SR-C1,C061121A1-SR-C1,C061208A2-SR-C1,C060112A6-SR-C1,C061208A3-SR-C1,C060116A6-SR-C1,C060202A2-SR-C1,C060112A4-SR-C1,C070109A4-C1,C060209A3-SR-C1,C060114A6-SR-C1,C060116A7-SR-C1,C060109A1-SR-C1,C080501B2-SR-C1,C060112A7-SR-C1,C061129A3-SR-C1,C060109A3-SR-C1,C060114A5-SR-C1,C060110A2-SR-C1,C060114A7-SR-C1,C060110A3-SR-C1,C060109A2-SR-C1,C060116A3-SR-C1,C061128B1-SR-C1,C060114A4-SR-C1,C061128B2-SR-C1,C060112A3-SR-C1,C060202A1-SR-C1,C061208B2-SR-C1,C080501A5-SR-C1,C061128A5-SR-C1,C061208B1-SR-C1,C060110A5-SR-C1,C060114A2-SR-C1,C060202A6-SR-C1,C060202A5-SR-C1,C060116A5-SR-C1
APWaveform_280.soma.v.fast_AHP,-17.6698,,-39.5625,,-32.2521,-28.9083,,-2.2375,,-40.9042,-35.5417,,-52.0021,,-34.4729,,,-35.1958,-40.6583,-25.8708,-33.6813,-1.6979,-11.0984,-37.5438,,-29.5604,-46.0021,,-34.15,-17.5396,-12.7552,-33.5521,,,-37.3375,,,-17.0406,-42.2792,-31.5604,-35.5875,,-48.2875,-19.875
APWaveform_280.soma.v.AHP_time_from_peak,8.3667,,7.85,,8.8667,8.2833,,9.8333,,7.1833,8.2333,,7.4833,,5.0,,,7.2167,7.0,3.1667,8.0,5.7,8.5,2.8,,8.8,9.5833,,6.5167,6.8833,7.8,4.9333,,,6.2833,,,8.6,7.8167,10.1,8.2833,,10.3667,7.0833
APWaveform_280.soma.v.AP1_peak,15.5687,,14.0875,,25.9604,32.6958,,21.4125,,14.7875,37.7167,,3.9417,,23.5729,,,20.6667,13.5979,21.9938,18.6312,28.3208,28.1406,16.3833,,18.1937,9.0063,,29.5333,30.1167,17.2958,21.9104,,,9.0021,,,16.9375,9.1479,24.7083,16.6271,,2.5667,5.4313
APWaveform_280.soma.v.AP2_AP1_peak_diff,-1.1375,,3.8167,,-3.1229,-3.0229,,-5.2375,,3.25,-12.1333,,2.9958,,-0.8875,,,-2.9563,3.8313,1.525,0.7,-6.6854,-8.0969,4.8479,,-5.9917,2.8167,,-3.0833,-7.0021,-1.5375,-3.3271,,,3.0042,,,-12.3792,3.9729,-2.5979,-0.9437,,8.7479,-0.6521
APWaveform_280.soma.v.AP2_width,2.5622,,2.4826,,2.1314,1.8393,,,,1.992,3.042,,2.6857,,,,,2.9257,2.9572,,1.9673,,2.2407,,,2.3515,3.4074,,,2.1972,2.7269,,,,,,,2.9558,2.7576,2.4258,3.2196,,2.6939,2.2778
APWaveform_280.soma.v.AP1_begin_width,12.0333,,11.9333,,14.9,12.8667,,10.6,,15.4667,12.3,,11.8667,,19.0333,,,12.6333,14.7333,14.4667,16.2333,6.4,13.2,14.4,,11.2,18.1,,14.8,11.3333,12.0,15.5,,,17.7333,,,12.6,14.3,13.0333,15.5333,,21.5667,12.5667
APWaveform_280.soma.v.AP2_peak,14.4312,,17.9042,,22.8375,29.6729,,16.175,,18.0375,25.5833,,6.9375,,22.6854,,,17.7104,17.4292,23.5188,19.3313,21.6354,20.0438,21.2312,,12.2021,11.8229,,26.45,23.1146,15.7583,18.5833,,,12.0062,,,4.5583,13.1208,22.1104,15.6833,,11.3146,4.7792
APWaveform_280.soma.v.AHP2_depth_from_peak,73.3958,,80.7729,,87.5729,90.6333,,,,78.6958,77.2333,,65.2021,,,,,84.1396,78.0917,,84.9625,,79.6781,,,78.3417,70.2458,,,80.2542,75.0646,,,,,,,60.0188,73.0187,88.3208,77.4094,,67.3469,66.2208
APWaveform_280.soma.v.AP1_width,1.4276,,1.3005,,0.967,0.9565,,1.2417,,1.0607,1.1126,,1.356,,1.202,,,1.3575,1.4611,1.1128,0.9932,1.0713,1.0691,1.3409,,1.1145,1.7081,,1.0272,1.0365,1.1521,1.156,,,1.2362,,,1.3389,1.2993,1.095,1.4537,,1.5896,1.2805
APWaveform_280.soma.v.AP2_begin_width,5.7333,,4.7333,,5.0,4.6333,,,,4.2667,6.6333,,5.2,,,,,6.4667,6.1667,,3.9667,,4.75,,,6.0667,6.8333,,,4.9667,5.1667,,,,,,,7.5667,5.0667,6.4333,7.7,,5.05,5.2667
APWaveform_280.soma.v.AP2_AP1_begin_width_diff,-6.3,,,,-9.9,-8.2333,,,,-11.2,-5.6667,,-6.6667,,,,,-6.1667,-8.5667,,-12.2667,,-8.45,,,-5.1333,-11.2667,,,-6.3667,-6.8333,,,,,,,-5.0333,-9.2333,-6.6,-7.9,,-15.65,-7.3
APWaveform_280.soma.v.AHP1_depth_from_peak,68.4167,,69.0771,,83.925,89.6479,,77.7062,,69.7479,87.5,,59.975,,76.7042,,,81.6604,69.1375,83.4396,75.4937,84.6896,80.6156,70.4646,,79.6104,62.525,,84.8083,86.6479,70.7042,80.7771,,,66.9333,,,66.8812,63.7833,82.6354,74.2833,,52.4167,64.7313
APWaveform_280.soma.v.AP1_amp,114.8083,,108.6396,,116.1771,118.5563,,79.9437,,110.6521,123.0417,,111.9771,,111.1771,,,116.8563,109.7958,109.3104,109.175,86.3875,116.2781,108.0083,,109.1708,108.5271,,118.9583,117.5104,109.2333,114.3292,,,104.2708,,,108.3562,106.0625,114.1958,109.8708,,100.7042,112.1021
APWaveform_280.soma.v.AP2_amp,62.3437,,65.8354,,74.4271,79.1208,,67.0937,,65.8875,66.3521,,53.6812,,71.6937,,,72.7792,66.5562,82.0,69.2917,71.8833,66.2125,71.9604,,68.2521,59.0792,,76.6312,71.1896,62.0458,69.7208,,,64.6646,,,52.625,59.1354,75.95,68.1938,,55.3396,58.6
APWaveform_280.soma.v.AP_amplitude,87.1514,,87.2375,,95.3021,98.8385,,73.5187,,88.2698,94.6969,,82.8292,,91.4354,,,94.8177,88.176,95.6552,89.2333,79.1354,91.2453,89.9844,,88.7115,83.8031,,97.7948,92.617,85.6396,92.025,,,84.4677,,,75.6389,82.599,95.0729,89.0323,,78.0219,82.0142
APWaveform_280.soma.v.APlast_amp,66.7375,,65.8354,,74.4271,79.1208,,67.0937,,65.8875,66.3521,,53.6812,,71.6937,,,72.7792,66.5562,82.0,69.2917,71.8833,66.2125,71.9604,,68.2521,59.0792,,76.6312,73.8021,62.0458,69.7208,,,64.6646,,,65.9354,59.1354,75.95,68.1938,,55.3396,66.3792
APWaveform_280.soma.v.AP_duration_half_width,0.8444,,1.3167,,1.45,1.5167,,0.9667,,1.1833,1.0667,,1.4,,1.4667,,,1.3,1.2833,1.6,1.2,1.2167,1.35,1.5833,,1.3333,1.2167,,1.0,1.5111,1.2667,1.8167,,,1.3167,,,1.2444,1.4333,1.3667,,,0.9333,1.1389
APWaveform_320.soma.v.AP_height,15.7729,,,,22.6073,29.3962,,17.001,,16.1861,29.5076,,6.4046,,21.6875,8.4167,,15.5208,14.3354,22.1542,17.6656,23.2542,23.701,18.0135,,14.3163,9.3667,,26.2229,25.3917,15.9396,17.8177,9.0625,,9.149,,23.1885,9.176,9.6719,20.6969,14.9073,,7.4042,6.4479
APWaveform_320.soma.v.AHP_slow_time,0.5297,,,,,0.4854,,,,0.4473,0.5185,,0.436,,,,,0.4973,,,,,0.4985,,,,,,,0.4211,0.495,,0.4999,,,,,0.6286,,,,,,0.4788
APWaveform_320.soma.v.doublet_ISI,8.3667,,,,14.1667,10.1333,,20.0333,,12.1333,13.8,,8.2,,21.8333,14.0333,,11.4,17.3333,27.1,14.5,17.6667,8.8,20.1,,9.7333,16.9,,18.6333,11.3,11.0333,19.9333,8.1,,18.7333,,15.3667,8.7,15.2,13.1333,16.1333,,16.8667,7.4667
APWaveform_320.soma.v.AHP_depth_abs_slow,-56.5,,,,,-57.3594,,,,-59.4688,-50.5187,,-55.3675,,,,,-64.5437,,,,,-57.6906,,,,,,,-55.9187,-57.2604,,-62.3969,,,,,-53.4656,,,,,,-61.2292
APWaveform_320.soma.v.AP_width,2.5,,,,,2.05,,2.5333,,1.9667,3.3333,,2.21,,2.6,3.2667,,2.4667,2.8333,1.4333,1.8667,2.6167,,2.4667,,1.9667,3.2167,,,2.2333,2.4333,2.5333,1.925,,2.1,,1.7333,,2.4667,2.3,2.8167,,2.7333,1.9
APWaveform_320.soma.v.time_to_first_spike,7.9,,,,9.4667,8.3333,,13.1333,,10.7,7.5667,,7.82,,12.1333,11.9667,,8.1333,9.7333,10.1,11.1333,16.0,8.7,10.2667,,7.4333,11.4333,,8.9,7.1333,7.7667,9.0667,6.75,,11.1333,,9.9667,7.75,9.6667,7.8,10.0667,,11.8333,8.6333
APWaveform_320.soma.v.AHP_depth_abs,-54.4823,,,,-60.9552,-56.9844,,-58.1771,,-57.3583,-49.9146,,-55.5725,,-56.5156,-53.2156,,-63.0896,-57.7344,-61.3187,-60.801,-59.5229,-55.0953,-58.6094,,-62.699,-55.1438,,-59.4115,-56.0708,-55.3771,-61.8833,-59.7063,,-61.9677,,-63.9563,-51.7859,-56.8167,-61.3313,-59.3885,,-50.9302,-60.4458
APWaveform_320.soma.v.AHP_depth,28.4531,,,,22.0743,25.3743,,23.6865,,25.1062,31.3469,,26.859,,26.851,29.0497,,20.0191,24.4274,22.5986,22.1361,23.0382,27.0703,24.8163,,21.9715,28.6674,,23.9187,26.1906,27.0802,21.5264,23.7208,,22.8281,,19.0243,30.7917,26.6076,21.3142,24.0715,,32.1153,23.6698
APWaveform_320.soma.v.fast_AHP,-20.1052,,,,-25.7521,-11.399,,-3.3771,,-24.6427,-12.8719,,-24.1544,,-35.7333,-59.4979,,-21.6146,-42.5313,-26.725,-34.3771,-2.4583,-12.5734,-39.15,,-24.3583,-48.6563,,-34.7458,-11.8719,-14.4927,-34.8125,-17.4234,,-38.625,,-28.9979,-18.7188,-43.9625,-23.1542,-37.2604,,-52.6146,-21.7802
APWaveform_320.soma.v.AHP_time_from_peak,7.7333,,,,8.4667,7.3833,,11.9167,,6.9667,7.9,,6.77,,9.45,7.9333,,6.7167,7.0833,3.2333,7.8,10.1,7.5,9.6833,,8.85,9.1667,,9.3333,6.3333,7.3,9.4333,7.2,,8.55,,8.0167,8.325,7.0833,9.5667,9.2333,,9.0833,6.5
APWaveform_320.soma.v.AP1_peak,15.2687,,,,25.6458,32.7458,,20.925,,14.3396,37.8313,,4.27,,23.4042,7.8146,,19.5396,13.0833,22.1396,18.275,28.0375,27.9656,16.6292,,18.1167,8.5625,,29.4333,29.6958,16.4833,20.8354,10.3281,,8.4854,,23.7563,16.6375,8.6312,24.5104,16.6896,,3.2063,4.5021
APWaveform_320.soma.v.AP2_AP1_peak_diff,-3.7437,,,,-6.0771,-8.8958,,-7.8479,,1.2875,-15.6521,,-1.1425,,-3.4333,1.2042,,-11.625,2.5042,0.0292,-1.2187,-9.5667,-13.0344,2.7687,,-9.5813,1.6083,,-6.4208,-9.6708,-4.8104,-6.0354,-6.9062,,1.3271,,-1.1354,-17.3094,2.0812,-7.6271,-3.5646,,8.3958,-2.4417
APWaveform_320.soma.v.AP2_width,2.5341,,,,2.1307,1.8059,,3.2511,,1.9649,3.1774,,2.5634,,2.6304,3.7282,,3.0781,3.0729,,1.9795,2.8504,2.1204,2.6028,,2.3232,3.5991,,2.2853,2.2638,2.6244,2.9877,2.2218,,2.6031,,1.7792,2.8619,2.9082,2.5577,3.2874,,2.7145,2.2436
APWaveform_320.soma.v.AP1_begin_width,10.6333,,,,12.8667,11.0,,9.9667,,13.1333,10.8333,,10.3,,16.0,15.5,,11.1333,12.7667,12.9333,13.6667,6.0,11.25,12.6333,,9.7,15.6667,,12.7667,9.8667,10.4,13.2,9.35,,15.0333,,12.2,,12.1667,8.8333,13.4667,,17.5667,11.1333
APWaveform_320.soma.v.AP2_peak,11.525,,,,19.5688,23.85,,13.0771,,15.6271,22.1792,,3.1275,,19.9708,9.0188,,7.9146,15.5875,22.1687,17.0562,18.4708,14.9313,19.3979,,8.5354,10.1708,,23.0125,20.025,11.6729,14.8,3.4219,,9.8125,,22.6208,-0.6719,10.7125,16.8833,13.125,,11.6021,2.0604
APWaveform_320.soma.v.AHP2_depth_from_peak,67.9771,,,,83.4063,81.4563,,75.275,,75.2146,72.6583,,58.4412,,80.3292,64.8188,,72.5146,75.4604,,81.6417,80.8604,72.5563,83.075,,72.8375,67.6521,,86.3875,75.8687,68.8792,79.5437,65.8,,75.4292,,91.1021,52.7187,69.5417,81.4146,74.4792,,65.8292,63.2479
APWaveform_320.soma.v.AP1_width,1.3631,,,,1.0106,0.9706,,1.2657,,1.0526,1.0741,,1.3522,,1.1778,1.6364,,1.3159,1.4725,1.0668,1.0151,1.1472,1.0314,1.3113,,1.1246,1.6897,,1.0825,1.0467,1.178,1.234,1.2257,,1.2297,,0.8848,1.4105,1.28,1.1299,1.4569,,1.6223,1.2718
APWaveform_320.soma.v.AP2_begin_width,5.8333,,,,5.1333,5.1667,,6.35,,4.3333,6.5667,,5.48,,5.7333,6.1667,,6.6,6.0667,,4.0333,6.2333,4.95,6.0333,,5.9667,6.8667,,5.3333,4.9,5.4,6.1667,5.0,,5.5,,4.1,8.0,5.1333,6.5333,7.5333,,5.0333,4.9
APWaveform_320.soma.v.AP2_AP1_begin_width_diff,-4.8,,,,-7.7333,-5.8333,,-2.7,,-8.8,-4.2667,,-4.82,,-10.2667,-9.3333,,-4.5333,-6.7,,-9.6333,0.2333,-6.3,-6.6,,-3.7333,-8.8,,-7.4333,-4.9667,-5.0,-7.0333,-4.35,,-9.5333,,-8.1,-3.2,-7.0333,-2.3,-5.9333,,-12.5333,-6.2333
APWaveform_320.soma.v.AHP1_depth_from_peak,67.7813,,,,83.7187,89.1083,,76.6729,,69.4688,87.1813,,60.1013,,76.0771,58.4458,,81.1188,68.6792,83.4583,75.2917,84.6937,80.5313,70.1708,,79.2125,61.3688,,84.8813,85.9938,70.0312,79.8583,67.3625,,66.8042,,83.1875,66.8187,63.4354,82.6417,74.1125,,50.8396,64.2062
APWaveform_320.soma.v.AP1_amp,116.9875,,,,116.8958,119.1083,,80.05,,112.0229,123.6271,,115.4162,,111.8104,117.9438,,117.7271,111.2104,110.1833,109.6687,87.1521,116.8469,109.3208,,110.0187,110.025,,119.6271,117.8937,109.7708,114.6708,112.6094,,105.4292,,112.1854,110.6844,107.3979,105.7958,111.3729,,103.4542,114.9979
APWaveform_320.soma.v.AP2_amp,58.9813,,,,71.3792,74.2542,,63.8937,,63.7458,61.9562,,51.435,,66.7104,51.9583,,63.8625,63.0937,80.8437,67.0979,68.55,61.3875,68.2354,,64.1562,56.6604,,72.0917,67.7125,58.125,66.2229,55.4,,63.0458,,76.2083,46.2906,56.9667,69.8771,64.8687,,54.3063,56.0167
APWaveform_320.soma.v.AP_amplitude,82.3813,,,,94.1375,94.0691,,71.9719,,84.3972,85.3167,,75.8837,,89.2604,84.951,,88.6885,87.1521,95.5135,88.3833,77.851,85.7635,88.7781,,86.4326,83.3427,,95.8594,87.2368,79.0722,90.4469,79.0385,,84.2375,,94.1969,72.9604,82.1823,87.8365,88.1208,,78.8802,79.6944
APWaveform_320.soma.v.APlast_amp,71.175,,,,71.3792,81.6812,,63.8937,,69.5979,70.3667,,60.8,,66.7104,51.9583,,76.5188,63.0937,80.8437,67.0979,68.55,79.0562,68.2354,,70.4333,56.6604,,72.0917,76.1042,69.3208,66.2229,69.1063,,63.0458,,76.2083,61.9062,56.9667,69.8771,64.8687,,54.3063,68.0687
APWaveform_320.soma.v.AP_duration_half_width,1.1,,,,1.4167,1.6167,,0.9667,,1.5333,1.3667,,0.8133,,1.7333,1.4167,,1.1889,1.0333,1.65,1.1833,1.2167,1.5167,1.6167,,1.2333,0.9,,1.7333,1.7556,1.2556,1.2167,1.35,,1.1167,,,,1.2,1.6333,1.2,,0.9,0.8889
APWaveform_600.soma.v.AP_height,12.0773,5.3847,12.6729,,19.917,25.3161,,13.5457,10.8656,11.8242,,,,12.6528,18.7434,,9.8078,9.1771,10.8056,18.1227,15.6891,20.7743,18.1542,15.9001,16.0222,11.3815,7.7609,11.9432,21.5387,19.0983,9.8732,13.871,2.0805,17.6694,6.9194,6.2104,19.1005,,,14.1172,11.876,9.6488,10.2764,3.2618
APWaveform_600.soma.v.AHP_slow_time,0.5874,0.5283,0.4788,,0.5239,0.4885,,0.5359,0.636,0.5082,,,,0.4019,,,,0.5118,0.5035,0.4936,0.4728,0.5455,0.6075,0.5807,0.5766,0.517,0.5405,0.4773,0.5674,0.4277,0.5535,0.4879,0.5666,0.4687,0.5048,0.5468,0.5295,,,0.6262,0.5583,0.5408,0.4494,0.5332
APWaveform_600.soma.v.doublet_ISI,6.9333,7.1333,9.3167,,9.0333,7.1111,,14.9667,7.575,7.05,,,,11.0833,13.9333,,21.4,8.3167,8.1333,12.4,9.0625,13.8833,7.075,7.0889,10.2333,7.0333,12.0667,6.5667,9.9444,8.0167,7.2,14.14,6.15,13.15,12.7,10.0,6.8167,,,7.3417,10.4333,9.0222,11.0111,6.5333
APWaveform_600.soma.v.AHP_depth_abs_slow,-52.3635,-53.8771,-57.5958,,-62.0979,-53.5646,,-61.1771,-49.6445,-55.7516,,,,-64.35,,,,-64.3729,-54.0083,-66.1703,-60.5305,-60.8187,-55.3953,-56.8562,-57.075,-60.1937,-53.9484,-51.2734,-59.0965,-52.5094,-53.1609,-62.5292,-61.5141,-57.85,-64.2458,-56.6563,-63.2688,,,-59.1839,-57.724,-59.1271,-48.55,-59.3219
APWaveform_600.soma.v.AP_width,2.8222,2.8222,2.675,,1.9583,2.3852,,2.8444,3.3917,2.1333,,,,2.0833,2.7,,2.725,2.6611,3.1444,1.8722,1.925,2.6167,2.3,2.4333,2.8333,2.1278,3.1667,2.8333,2.2852,2.7056,2.85,2.5,2.0,2.85,2.1333,2.65,1.7931,,,2.3653,2.7833,2.2389,3.0407,2.1333
APWaveform_600.soma.v.time_to_first_spike,5.7667,6.1667,5.0667,,6.7833,5.4222,,9.1778,4.825,6.95,,,,6.95,8.2333,,10.65,5.9667,6.6667,6.9556,7.5375,11.0833,5.975,7.2667,7.2333,5.1667,8.3833,5.0,6.1778,5.1167,5.1,6.42,4.1,7.2333,8.0333,8.9,6.15,,,4.8417,7.2667,9.3222,8.3444,5.9333
APWaveform_600.soma.v.AHP_depth_abs,-52.9896,-56.1653,-56.4116,,-60.2042,-54.7123,,-57.8406,-49.926,-56.149,,,,-61.1542,-54.2062,,-62.6719,-64.5231,-55.1479,-63.9795,-59.3704,-59.049,-55.863,-54.8253,-56.6552,-61.5963,-53.3677,-53.3681,-57.4615,-54.0997,-53.6542,-61.0512,-60.5656,-56.6026,-61.55,-55.3224,-62.1797,,,-59.1429,-57.412,-56.4667,-46.3902,-60.2917
APWaveform_600.soma.v.AHP_depth,30.2587,25.5528,25.066,,22.5703,27.6419,,24.0906,32.3023,26.4547,,,,21.1556,29.175,,19.4922,18.5194,27.491,19.6163,23.5367,23.3153,25.8609,28.2691,26.1691,23.2502,30.133,29.3733,25.9904,27.897,28.6844,22.2975,20.6188,27.275,23.1413,27.9036,20.6885,,,23.5558,26.1592,27.6701,36.3911,23.201
APWaveform_600.soma.v.fast_AHP,-15.6208,-27.025,-18.0448,,-12.5969,-12.1231,,-2.4847,-14.2167,-16.85,,,,-14.5755,-12.8583,,-32.9344,-16.787,-22.6937,-19.7024,-14.7531,-23.8469,-7.5875,-16.9049,-14.4677,-14.4417,-23.3333,-10.3417,-13.8872,-14.8026,-9.6531,-18.0356,-11.8677,-13.6214,-14.9854,-21.7281,-13.1031,,,-14.6211,-17.2505,-17.8917,-26.6497,-19.849
APWaveform_600.soma.v.AHP_time_from_peak,7.8111,8.4333,7.4694,,7.475,7.4111,,9.8889,8.1083,6.4667,,,,6.375,8.3333,,11.15,7.1444,7.3222,8.7778,7.0146,8.7333,8.475,9.2167,8.0,8.2704,8.0083,6.7056,8.8148,7.5444,7.5833,8.37,7.0333,7.55,7.7333,7.525,7.7972,,,8.9153,8.0917,7.75,7.0759,7.1556
APWaveform_600.soma.v.AP1_peak,13.7958,5.225,13.301,,24.5063,33.1486,,20.1493,19.3844,13.1688,,,,10.7812,23.2917,,9.575,16.8594,12.2375,21.9437,17.5344,27.3698,26.5359,17.7771,21.9854,17.3917,8.1094,17.1187,28.5049,29.0427,15.5687,19.83,6.6812,17.6896,6.8687,2.6031,22.7073,,,22.8922,16.2031,8.6056,5.4153,3.8062
APWaveform_600.soma.v.AP2_AP1_peak_diff,-8.3458,-5.3625,-4.7521,,-12.8146,-17.8486,,-13.9965,-16.6234,-6.8781,,,,-0.2615,-10.275,,0.4656,-18.9594,-6.975,-9.9236,-7.2922,-13.9562,-19.4281,-8.4194,-14.0625,-16.284,-2.325,-14.1062,-16.7222,-18.7323,-13.8437,-12.8437,-15.5969,-2.0646,-3.4604,2.6094,-11.2083,,,-20.9333,-11.6875,-2.7125,5.5368,-7.2917
APWaveform_600.soma.v.AP2_width,2.3868,2.6734,2.7621,,2.2107,1.865,,3.6131,3.0858,1.9162,,,,2.4136,2.9585,,3.3278,3.1129,2.8691,2.118,1.9518,3.0111,2.0687,2.5423,3.2929,2.273,3.6487,2.2429,2.3814,2.2274,2.8479,3.2066,2.1618,2.9251,2.7436,2.8412,1.7141,,,2.6431,3.3888,2.48,2.7817,2.1072
APWaveform_600.soma.v.AP1_begin_width,8.3,,7.3833,,9.6333,7.8222,,6.9333,7.75,9.1,,,,9.4667,11.6,,18.25,8.8333,9.4333,9.1,9.7,15.2833,8.375,9.4889,10.1333,7.2,11.8333,6.85,9.3,7.5167,7.4,10.04,6.25,11.3,11.2667,11.7,8.1417,,,6.825,10.05,12.6778,11.9778,8.2
APWaveform_600.soma.v.AP2_peak,5.45,-0.1375,8.549,,11.6917,15.3,,6.1528,2.7609,6.2906,,,,10.5198,13.0167,,10.0406,-2.1,5.2625,12.0201,10.2422,13.4135,7.1078,9.3576,7.9229,1.1076,5.7844,3.0125,11.7826,10.3104,1.725,6.9863,-8.9156,15.625,3.4083,5.2125,11.499,,,1.9589,4.5156,5.8931,10.9521,-3.4854
APWaveform_600.soma.v.AHP2_depth_from_peak,57.0417,53.7271,66.1396,,73.7469,68.45,,67.8361,51.6234,61.5906,,,,74.8104,69.7583,,77.2063,61.4062,58.8083,78.8667,70.6742,74.5844,62.5,66.6507,64.8229,61.2174,60.3396,52.6115,70.7951,62.8125,54.2719,69.7725,50.4281,73.4594,67.6521,61.8406,74.7151,,,61.0651,62.1854,64.9389,59.4646,55.225
APWaveform_600.soma.v.AP1_width,1.314,1.4889,1.2153,,1.0095,0.932,,1.1504,1.2826,1.0796,,,,1.2097,1.0916,,1.4858,1.2595,1.4637,1.0852,0.9271,1.0751,0.9399,1.3349,1.2093,1.0777,1.5982,1.217,1.0347,1.0217,1.1199,1.2405,1.1466,1.6079,1.2164,1.4425,0.9389,,,1.0972,1.3778,1.2156,1.513,1.2562
APWaveform_600.soma.v.AP2_begin_width,5.8,6.6667,4.9667,,5.3,4.9222,,6.5222,7.625,5.05,,,,4.5167,5.8333,,6.85,6.4833,6.4667,5.4556,3.9875,6.2667,5.45,6.6778,7.4333,6.2556,7.05,5.5167,5.7556,5.3667,6.05,6.38,4.5,6.25,5.4667,5.4,4.3917,,,7.5,7.7167,6.0444,5.1333,
APWaveform_600.soma.v.AP2_AP1_begin_width_diff,-2.5,-2.2333,-2.4167,,-4.3333,-2.9,,-0.4111,-0.125,-4.05,,,,-4.95,-5.7667,,-11.4,-2.35,-2.9667,-3.6444,-5.7125,-9.0167,-2.925,-2.8111,-2.7,-0.9444,-4.7833,-1.3333,-3.5444,-2.15,-1.35,-3.66,-1.75,-5.05,-5.8,-6.3,-3.75,,,0.675,-2.3333,-6.6333,-6.8444,-3.3
APWaveform_600.soma.v.AHP1_depth_from_peak,65.0792,61.1188,67.5604,,82.8594,87.8167,,74.1472,69.0469,69.4719,,,,68.799,74.9625,,67.7531,80.1208,66.9854,83.0563,75.0039,84.2969,80.6641,70.1347,78.3958,78.7542,60.2896,73.2458,83.8722,85.0073,69.2812,79.1462,65.4125,73.0604,65.725,56.2438,82.4677,,,81.2443,73.3573,62.3083,49.1,63.6187
APWaveform_600.soma.v.AP1_amp,125.1375,118.075,115.4521,,118.0781,121.2083,,79.5868,122.2156,117.6813,,,,111.1948,113.6042,,100.6875,119.6219,117.7,111.2215,115.6578,115.2729,117.5187,113.6347,115.4771,112.1854,115.7958,115.6906,121.4146,118.8,112.0156,117.005,114.7562,108.3187,107.7625,109.6219,117.7333,,,116.2396,114.501,107.0069,111.8403,123.5792
APWaveform_600.soma.v.AP2_amp,52.0625,50.8208,54.3375,,63.7219,64.2056,,55.8875,47.7375,56.6719,,,,61.5656,56.8333,,63.9125,55.4792,53.4812,68.4201,59.5266,63.0219,55.7656,56.9604,56.6771,56.6694,51.5,50.9781,61.0271,58.625,48.175,58.07,44.4625,65.4437,55.5854,51.9188,65.6557,,,55.312,55.5427,56.0236,50.0236,50.7792
APWaveform_600.soma.v.AP_amplitude,79.1535,77.0257,78.5715,,86.834,86.6578,,68.0294,72.6855,77.9294,,,,81.2913,83.9142,,82.3,82.6118,78.2562,88.985,82.4156,87.8392,81.6047,82.4028,80.5799,80.372,78.1891,73.2501,86.4944,80.6226,71.2221,83.965,71.125,81.5812,76.9424,74.5042,87.8939,,,81.4984,79.4448,77.0197,72.8273,77.928
APWaveform_600.soma.v.APlast_amp,65.6708,62.1812,65.925,,78.7021,77.1618,,61.1493,57.6656,65.7313,,,,71.1135,62.9604,,63.9125,72.7344,63.5875,76.5396,72.0625,68.1583,71.5297,70.8118,69.5854,72.2611,57.0208,64.3656,77.0417,64.4427,59.975,65.4388,65.6906,70.9813,67.4792,61.9719,80.2927,,,72.9438,68.2906,68.0285,56.6181,64.3063
APWaveform_600.soma.v.AP_duration_half_width,0.9806,1.1667,1.1,,1.2444,1.2741,,0.9407,1.2292,1.1833,,,,1.0833,1.1889,,1.1,1.1389,1.0333,1.3722,1.2792,1.0861,1.2083,1.1815,0.9222,1.0963,1.05,1.1014,1.4556,1.2833,0.8458,1.1033,1.0375,1.1111,1.1444,0.8833,1.3417,,,1.1944,1.1,1.0185,1.1222,1.2917
APWaveform_all.soma.v.AP_height,16.4866,7.8728,15.2309,9.9837,23.8034,29.2691,20.0077,17.5828,20.2325,16.3634,32.3807,9.6283,5.6745,13.2983,21.9619,10.0365,10.7819,18.1945,14.2142,20.6428,17.8768,24.4995,25.3588,16.4666,20.3349,14.3786,9.3109,15.1644,25.4382,25.5069,17.7663,18.8228,11.4861,18.0392,10.0073,5.7584,22.2352,15.2721,11.3943,19.1165,15.25,10.2551,7.0198,6.161
APWaveform_all.soma.v.AHP_slow_time,0.5598,0.5078,0.4561,0.506,0.5088,0.4805,0.6211,0.5359,0.5856,0.4806,0.5321,0.4793,0.441,0.4019,,0.4701,,0.5215,0.4954,0.4936,0.4685,0.5455,0.5596,0.5807,0.5624,0.5329,0.5405,0.4388,0.5642,0.4283,0.5169,0.4869,0.5247,0.4687,0.4986,0.5436,0.5238,0.634,0.4609,0.6095,0.5607,0.5353,0.4494,0.4746
APWaveform_all.soma.v.doublet_ISI,12.3211,13.2056,15.9,15.6357,14.25,11.6952,12.4438,18.5,14.6368,13.625,17.57,14.6,11.7263,16.9316,19.4533,17.2538,25.3583,15.72,16.8158,20.1111,13.4762,16.9063,13.6435,14.3053,16.8833,11.4455,16.9778,10.9667,17.0429,13.0714,15.475,20.2833,12.2,19.0778,19.5167,15.9733,11.9091,17.5688,17.4846,12.6417,16.0444,13.215,15.9476,9.019
